	4.02067867206e-08
2015-01-04	0.00188884591422
2015-01-05	0.00208761678011
2015-01-06	0.0022074904428
2015-01-07	0.00246785236213
2015-01-08	0.00259000632401
2015-01-09	0.00257292992731
2015-01-10	0.00296117240371
2015-01-11	0.00241027624354
2015-01-12	0.00227666334744
2015-01-13	0.00257620390851
2015-01-14	0.00254253934037
2015-01-15	0.00259153418191
2015-01-16	0.00274626138486
2015-01-17	0.00273881164166
2015-01-18	0.00245285523068
2015-01-19	0.00196895506484
2015-01-20	0.00232958696642
2015-01-21	0.00247838079642
2015-01-22	0.0025968299901
2015-01-23	0.00271361347404
2015-01-24	0.00264506090268
2015-01-25	0.00234106313212
2015-01-26	0.00132254481091
2015-01-27	0.000778288514378
2015-01-28	0.00218375695099
2015-01-29	0.00248124696593
2015-01-30	0.00277645093786
2015-01-31	0.00298717470706
2015-02-01	0.00243028773568
2015-02-02	0.00193480227144
2015-02-03	0.00241888623973
2015-02-04	0.00238727221771
2015-02-05	0.00264053476727
2015-02-06	0.00273977660455
2015-02-07	0.00278865082572
2015-02-08	0.00235770874182
2015-02-09	0.00218905275918
2015-02-10	0.00243862202818
2015-02-11	0.00256897243073
2015-02-12	0.00266330904003
2015-02-13	0.00279288402598
2015-02-14	0.00287993746305
2015-02-15	0.00263695636325
2015-02-16	0.00237125268512
2015-02-17	0.00226515271879
2015-02-18	0.00250779493282
2015-02-19	0.00274369963816
2015-02-20	0.00286592252597
2015-02-21	0.00261514705336
2015-02-22	0.00229212572885
2015-02-23	0.00248036241662
2015-02-24	0.00257618093321
2015-02-25	0.00255159735504
2015-02-26	0.00270954684476
2015-02-27	0.00279736995461
2015-02-28	0.00286982832811
2015-03-01	0.00221290687136
2015-03-02	0.00223175236668
2015-03-03	0.00228426817396
2015-03-04	0.0025029241678
2015-03-05	0.00210473912743
2015-03-06	0.00256658299883
2015-03-07	0.00289630162525
2015-03-08	0.00236597985223
2015-03-09	0.0022516317508
2015-03-10	0.00237765130803
2015-03-11	0.0024604600572
2015-03-12	0.00265203390827
2015-03-13	0.00273943771877
2015-03-14	0.0028519535395
2015-03-15	0.00240538824704
2015-03-16	0.00215290111409
2015-03-17	0.00237436009535
2015-03-18	0.00260184435079
2015-03-19	0.00259565824946
2015-03-20	0.00263196497787
2015-03-21	0.00268873121689
2015-03-22	0.00246419354454
2015-03-23	0.00224211997382
2015-03-24	0.0023673296515
2015-03-25	0.00245276332945
2015-03-26	0.00245624408842
2015-03-27	0.00267371111014
2015-03-28	0.0029313676871
2015-03-29	0.00243691611166
2015-03-30	0.00224585920499
2015-03-31	0.00246935150089
2015-04-01	0.00252869671809
2015-04-02	0.00255198219143
2015-04-03	0.00255070131808
2015-04-04	0.00252826018726
2015-04-05	0.00216807630416
2015-04-06	0.0021582658482
2015-04-07	0.00244634747506
2015-04-08	0.00254734117947
2015-04-09	0.00264489433171
2015-04-10	0.00268855315826
2015-04-11	0.00272102301045
2015-04-12	0.00233970184519
2015-04-13	0.00216633018086
2015-04-14	0.00236583625656
2015-04-15	0.00245314242201
2015-04-16	0.00259711143761
2015-04-17	0.00269548021323
2015-04-18	0.00287724360834
2015-04-19	0.00256051177404
2015-04-20	0.00228178684084
2015-04-21	0.00244765706754
2015-04-22	0.00248415334223
2015-04-23	0.00266218325
2015-04-24	0.00272296442387
2015-04-25	0.00281145381761
2015-04-26	0.00243887475655
2015-04-27	0.00226034513586
2015-04-28	0.00236514125354
2015-04-29	0.00245552611008
2015-04-30	0.00256250488189
2015-05-01	0.00265104597008
2015-05-02	0.00291567555262
2015-05-03	0.00249735265593
2015-05-04	0.0022416202609
2015-05-05	0.00248392933299
2015-05-06	0.00255570419111
2015-05-07	0.0025400465196
2015-05-08	0.00257902987124
2015-05-09	0.00269395235534
2015-05-10	0.00232870241711
2015-05-11	0.00227041980785
2015-05-12	0.00243832334919
2015-05-13	0.00252367086975
2015-05-14	0.00252691613182
2015-05-15	0.00262803620042
2015-05-16	0.0027546243965
2015-05-17	0.00243077596094
2015-05-18	0.00231844394267
2015-05-19	0.00248674955189
2015-05-20	0.00253436013119
2015-05-21	0.00256645089082
2015-05-22	0.00241027624354
2015-05-23	0.00220197062537
2015-05-24	0.00193367073758
2015-05-25	0.00173294697062
2015-05-26	0.00222363059576
2015-05-27	0.00238896664658
2015-05-28	0.00248197643192
2015-05-29	0.00253474496758
2015-05-30	0.00259092533628
2015-05-31	0.00211383734888
2015-06-01	0.00230231527737
2015-06-02	0.00241237274028
2015-06-03	0.00244558354611
2015-06-04	0.00255337794131
2015-06-05	0.00259152843808
2015-06-06	0.00258359621344
2015-06-07	0.00231009816251
2015-06-08	0.0022463359426
2015-06-09	0.00235030494924
2015-06-10	0.00243742731223
2015-06-11	0.00252653129543
2015-06-12	0.00254466455624
2015-06-13	0.00245838079194
2015-06-14	0.0021943543112
